time_stamp,turbine_id,wind_speed_avg,power_avg,rotor_speed_avg,gearbox_bearing_temperature_avg,ambient_temperature_avg,status_code
2024-01-01T00:00:00Z,EXT-SENVION-01,7.04,630.5,9.23,61.6,11.1,0
2024-01-01T00:10:00Z,EXT-SENVION-01,13.52,2043.5,16.0,79.6,11.79,0
2024-01-01T00:20:00Z,EXT-SENVION-01,6.82,630.4,8.54,61.26,12.67,0
2024-01-01T00:30:00Z,EXT-SENVION-01,14.99,2046.9,16.0,84.91,11.11,0
2024-01-01T00:40:00Z,EXT-SENVION-01,2.49,0.0,0.0,52.9,12.43,0
2024-01-01T00:50:00Z,EXT-SENVION-01,1.89,0.0,0.0,50.29,12.05,0
2024-01-01T01:00:00Z,EXT-SENVION-01,1.19,0.0,0.0,49.47,10.9,0
2024-01-01T01:10:00Z,EXT-SENVION-01,3.03,43.6,3.96,55.51,16.03,0
2024-01-01T01:20:00Z,EXT-SENVION-01,8.83,1234.3,11.37,75.54,14.83,0
2024-01-01T01:30:00Z,EXT-SENVION-01,13.7,2074.9,16.0,85.78,13.94,0
2024-01-01T01:40:00Z,EXT-SENVION-01,13.58,2070.5,16.0,82.77,13.1,0
2024-01-01T01:50:00Z,EXT-SENVION-01,2.59,0.0,0.0,51.78,14.17,0
2024-01-01T02:00:00Z,EXT-SENVION-01,10.52,2050.0,13.94,82.67,14.9,0
2024-01-01T02:10:00Z,EXT-SENVION-01,2.69,0.0,0.0,50.75,15.63,0
2024-01-01T02:20:00Z,EXT-SENVION-01,4.94,218.4,6.63,54.94,15.33,0
2024-01-01T02:30:00Z,EXT-SENVION-01,12.33,2048.2,15.98,82.59,16.31,0
2024-01-01T02:40:00Z,EXT-SENVION-01,5.29,299.2,7.29,52.46,15.27,0
2024-01-01T02:50:00Z,EXT-SENVION-01,7.17,650.3,9.48,63.01,16.45,0
2024-01-01T03:00:00Z,EXT-SENVION-01,9.61,1584.3,12.38,76.81,16.67,0
2024-01-01T03:10:00Z,EXT-SENVION-01,2.16,0.0,0.0,55.05,15.9,0
2024-01-01T03:20:00Z,EXT-SENVION-01,9.79,1688.0,12.49,77.62,16.24,0
2024-01-01T03:30:00Z,EXT-SENVION-01,1.95,0.0,0.0,51.77,16.24,0
2024-01-01T03:40:00Z,EXT-SENVION-01,6.49,497.1,8.6,58.89,15.52,0
2024-01-01T03:50:00Z,EXT-SENVION-01,7.07,640.2,9.04,59.66,16.77,0
2024-01-01T04:00:00Z,EXT-SENVION-01,3.62,108.8,4.6,53.57,15.5,0
2024-01-01T04:10:00Z,EXT-SENVION-01,5.2,250.5,6.35,56.09,16.84,0
2024-01-01T04:20:00Z,EXT-SENVION-01,6.84,601.5,8.86,65.26,18.39,0
2024-01-01T04:30:00Z,EXT-SENVION-01,6.24,421.3,8.31,60.56,18.26,0
2024-01-01T04:40:00Z,EXT-SENVION-01,8.45,1111.4,10.79,72.09,17.88,0
2024-01-01T04:50:00Z,EXT-SENVION-01,5.85,349.8,7.62,60.18,16.75,0
2024-01-01T05:00:00Z,EXT-SENVION-01,8.01,910.0,10.4,68.97,18.23,0
2024-01-01T05:10:00Z,EXT-SENVION-01,8.0,915.8,10.38,65.27,16.15,0
2024-01-01T05:20:00Z,EXT-SENVION-01,1.74,0.0,0.0,51.44,17.84,0
2024-01-01T05:30:00Z,EXT-SENVION-01,4.86,223.1,6.36,55.01,15.39,0
2024-01-01T05:40:00Z,EXT-SENVION-01,6.27,461.3,8.09,60.07,18.2,0
2024-01-01T05:50:00Z,EXT-SENVION-01,7.67,795.9,10.04,66.86,17.34,0
2024-01-01T06:00:00Z,EXT-SENVION-01,17.1,2020.9,16.0,83.86,17.37,0
2024-01-01T06:10:00Z,EXT-SENVION-01,7.87,855.8,10.25,68.26,19.5,0
2024-01-01T06:20:00Z,EXT-SENVION-01,4.03,120.4,5.11,57.65,21.83,0
2024-01-01T06:30:00Z,EXT-SENVION-01,7.93,895.2,9.95,64.81,16.04,0
2024-01-01T06:40:00Z,EXT-SENVION-01,7.46,745.9,10.11,67.84,18.2,0
2024-01-01T06:50:00Z,EXT-SENVION-01,3.68,58.0,4.84,52.89,18.57,0
2024-01-01T07:00:00Z,EXT-SENVION-01,10.99,2050.0,14.37,84.16,17.53,0
2024-01-01T07:10:00Z,EXT-SENVION-01,10.79,2050.0,14.23,84.61,17.83,0
2024-01-01T07:20:00Z,EXT-SENVION-01,7.05,645.9,9.2,63.21,17.65,0
2024-01-01T07:30:00Z,EXT-SENVION-01,2.97,0.0,0.0,53.99,17.54,0
2024-01-01T07:40:00Z,EXT-SENVION-01,5.8,343.2,7.49,60.49,18.43,0
2024-01-01T07:50:00Z,EXT-SENVION-01,3.02,32.5,3.69,55.53,18.85,0
