turbine_id,category,start,code,message,pre_rows,event_rows,post_rows,statistical_z_pre_rate,statistical_z_event_rate,statistical_z_post_rate,statistical_z_event_detected,isolation_forest_pre_rate,isolation_forest_event_rate,isolation_forest_post_rate,isolation_forest_event_detected,rai_champion_pre_rate,rai_champion_event_rate,rai_champion_post_rate,rai_champion_event_detected
Kelmarsh-1,Forced outage,2019-11-04T11:15:48+00:00,21,Manual stop - remote,36,34,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.058823529411764705,1.0,True
Kelmarsh-1,Forced outage,2019-11-05T15:54:41+00:00,3000,Frequency converter not ready,36,0,36,0.0,,0.0,False,0.05555555555555555,,0.05555555555555555,False,0.1111111111111111,,0.08333333333333333,False
Kelmarsh-1,Forced outage,2019-11-05T15:58:41+00:00,3000,Frequency converter not ready,36,1,36,0.0,0.0,0.0,False,0.05555555555555555,1.0,0.027777777777777776,True,0.1111111111111111,1.0,0.05555555555555555,True
Kelmarsh-1,Forced outage,2019-11-05T16:02:41+00:00,3000,Frequency converter not ready,36,0,36,0.0,,0.0,False,0.08333333333333333,,0.027777777777777776,False,0.1111111111111111,,0.05555555555555555,False
Kelmarsh-1,Forced outage,2019-11-05T16:06:58+00:00,3000,Frequency converter not ready,36,1,36,0.0,0.0,0.0,False,0.08333333333333333,1.0,0.0,True,0.1111111111111111,1.0,0.027777777777777776,True
Kelmarsh-1,Scheduled Maintenance,2019-11-11T12:50:59+00:00,20,Manual stop - on site,36,28,36,0.0,0.0,0.0,False,0.027777777777777776,1.0,0.0,True,0.0,1.0,0.027777777777777776,True
Kelmarsh-1,Forced outage,2019-11-11T14:31:32+00:00,2550,Overload generator fan 1,36,14,36,0.0,0.0,0.0,False,0.3055555555555556,1.0,0.1111111111111111,True,0.2777777777777778,1.0,0.1388888888888889,True
Kelmarsh-1,Forced outage,2019-11-11T14:31:33+00:00,2650,Overload generator fan 2,36,14,36,0.0,0.0,0.0,False,0.3055555555555556,1.0,0.1111111111111111,True,0.2777777777777778,1.0,0.1388888888888889,True
Kelmarsh-1,Forced outage,2019-11-11T14:31:33+00:00,2655,Overload generator fan 3,36,14,36,0.0,0.0,0.0,False,0.3055555555555556,1.0,0.1111111111111111,True,0.2777777777777778,1.0,0.1388888888888889,True
Kelmarsh-1,Forced outage,2019-11-13T10:40:03+00:00,21,Manual stop - remote,36,4,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,1.0,0.9444444444444444,True
Kelmarsh-1,Scheduled Maintenance,2019-11-13T11:24:21+00:00,210,Manual brake,36,0,36,0.0,,0.0,False,0.0,,0.0,False,0.1111111111111111,,0.9444444444444444,False
Kelmarsh-1,Scheduled Maintenance,2019-11-13T11:27:30+00:00,210,Manual brake,36,33,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.1111111111111111,1.0,0.027777777777777776,True
Kelmarsh-1,Forced outage,2019-11-13T11:44:51+00:00,2550,Overload generator fan 1,36,13,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.16666666666666666,1.0,0.5277777777777778,True
Kelmarsh-1,Forced outage,2019-11-13T11:44:52+00:00,2650,Overload generator fan 2,36,13,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.16666666666666666,1.0,0.5277777777777778,True
Kelmarsh-1,Forced outage,2019-11-13T11:44:52+00:00,2655,Overload generator fan 3,36,13,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.16666666666666666,1.0,0.5277777777777778,True
Kelmarsh-1,Scheduled Maintenance,2019-11-20T12:55:05+00:00,20,Manual stop - on site,36,7,36,0.0,0.0,0.0,False,0.0,0.7142857142857143,0.0,True,0.0,1.0,0.027777777777777776,True
Kelmarsh-1,Forced outage,2019-12-04T13:15:26+00:00,21,Manual stop - remote,36,2,36,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False
