farm,dataset_file,event_id,turbine_id,label,description,detector,feature_policy,n_rows,n_train,n_pred,n_event_rows,alarms_count,coverage_fbeta,accuracy,earliness_ws,max_criticality,event_detected,first_alarm_idx,first_alarm_in_window,lead_time_days,failure_classification
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PUBLISHED_IF,care_common,54358,52063,2295,2014,193,0.2123,,0.0458,30,False,69,True,-0.48,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PUBLISHED_IF,care_common,53036,51888,1148,1005,104,0.3561,,0.1288,1,False,4,True,-0.03,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PUBLISHED_IF,care_common,54082,52065,2017,1009,99,0.2124,,0.0313,27,False,242,False,1.32,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PUBLISHED_IF,care_common,54042,52313,1729,1009,189,0.3902,,0.0338,26,False,42,False,2.71,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PUBLISHED_IF,care_common,53702,52261,1441,1009,55,0.2104,,0.0483,2,False,105,True,-0.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PUBLISHED_IF,care_common,53886,52303,1583,1007,108,0.3157,,0.0667,7,False,126,True,-0.88,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PUBLISHED_IF,care_common,53592,52323,1269,981,115,0.3507,,0.1252,0,False,39,False,1.73,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PUBLISHED_IF,care_common,53772,52335,1437,1005,148,1.0,,0.0466,46,False,2,False,1.99,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,CARE_PUBLISHED_IF,care_native,54358,52063,2295,2014,166,0.1583,,0.0042,8,False,1377,True,-9.56,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,CARE_PUBLISHED_IF,care_native,53036,51888,1148,1005,218,0.5203,,0.2278,8,False,0,True,0.0,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,CARE_PUBLISHED_IF,care_native,54082,52065,2017,1009,196,0.3862,,0.0976,3,False,33,False,2.77,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,CARE_PUBLISHED_IF,care_native,54042,52313,1729,1009,360,0.4151,,0.2031,15,False,6,False,2.96,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,0.csv,0,turb_0,anomaly_event,,CARE_PUBLISHED_IF,care_native,54986,52148,2838,2012,243,0.4072,,0.1251,0,False,910,True,-4.32,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,CARE_PUBLISHED_IF,care_native,53702,52261,1441,1009,150,0.4605,,0.1566,2,False,21,True,-0.15,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,40.csv,40,turb_40,anomaly_event,,CARE_PUBLISHED_IF,care_native,56158,51219,4939,4508,297,0.2447,,0.075,0,False,54,False,0.62,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,CARE_PUBLISHED_IF,care_native,53886,52303,1583,1007,28,0.1252,,0.0317,0,False,1,True,-0.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,CARE_PUBLISHED_IF,care_native,53592,52323,1269,981,131,0.4355,,0.0969,0,False,319,True,-0.22,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,45.csv,45,turb_45,anomaly_event,,CARE_PUBLISHED_IF,care_native,53739,52299,1440,1008,235,1.0,,0.2318,55,False,210,False,1.54,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,CARE_PUBLISHED_IF,care_native,53772,52335,1437,1005,12,1.0,,0.0083,2,False,384,True,-0.67,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_common,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_common,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_common,54082,52065,2017,1009,37,0.0,,0.0,27,False,1442,False,-7.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_common,54042,52313,1729,1009,137,0.3726,,0.0152,22,False,1333,True,-6.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_common,53702,52261,1441,1009,6,0.0291,,0.0001,0,False,996,True,-6.92,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,42.csv,42,turb_42,anomaly_event,,RAI_CHAMPION,care_common,53886,52303,1583,1007,75,0.2691,,0.0516,6,False,528,True,-3.67,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,10.csv,10,turb_10,anomaly_event,,RAI_CHAMPION,care_common,53592,52323,1269,981,70,0.2341,,0.0802,0,False,143,False,1.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,84.csv,84,turb_84,anomaly_event,,RAI_CHAMPION,care_common,53772,52335,1437,1005,74,1.0,,0.011,38,False,101,False,1.3,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,68.csv,68,turb_68,anomaly_event,,RAI_CHAMPION,care_native,54358,52063,2295,2014,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,22.csv,22,turb_22,anomaly_event,,RAI_CHAMPION,care_native,53036,51888,1148,1005,0,0.0,,0.0,0,False,,False,,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,72.csv,72,turb_72,anomaly_event,,RAI_CHAMPION,care_native,54082,52065,2017,1009,37,0.0,,0.0,27,False,1442,False,-7.01,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,73.csv,73,turb_73,anomaly_event,,RAI_CHAMPION,care_native,54042,52313,1729,1009,137,0.3726,,0.0152,22,False,1333,True,-6.26,not detected under the official CARE event criterion (max criticality < 72)
Wind Farm A,26.csv,26,turb_26,anomaly_event,,RAI_CHAMPION,care_native,53702,52261,1441,1009,6,0.0291,,0.0001,0,False,996,True,-6.92,not detected under the official CARE event criterion (max criticality < 72)
